id,kullanici_id,aylik_maas,saat_bazli_maas,hedef_saat,aktif,created_at,updated_at
29,17,30000.0,115.38,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-09T12:19:15.214272+00:00
2,16,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
3,51,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
4,36,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
5,38,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
6,22,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
7,23,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
8,30,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
9,45,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
10,35,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
11,32,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
12,41,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
14,3,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
15,65,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
16,59,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
17,56,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
18,53,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
19,57,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
20,5,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
21,10,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
22,11,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
23,12,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
24,13,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
25,14,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
26,28,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
27,24,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
28,7,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
30,18,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
31,63,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
13,2,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
1,61,40000.0,153.85,260,True,2025-09-05T11:16:50.706858+00:00,2025-09-05T11:48:57.144473+00:00
